大カテゴリ	小カテゴリ
食費	食料品
食費	外食
食費	その他
日用品	消耗品
日用品	ペット用品
日用品	その他
住まい	住宅ローン
住まい	家具・インテリア
住まい	家電
住まい	修繕・メンテナンス
住まい	その他
水道・光熱	電気
水道・光熱	ガス
水道・光熱	水道
水道・光熱	その他
通信	携帯電話
通信	インターネット
通信	その他
交通	電車・バス
交通	タクシー
交通	その他
自動車	ガソリン
自動車	駐車場
自動車	高速料金
自動車	自動車税
自動車	車検・整備
自動車	自動車保険
自動車	その他
教育	習い事
教育	学費
教育	教材・参考書
教育	学資保険
教育	その他
医療・保険	病院
医療・保険	薬
医療・保険	医療保険
医療・保険	その他
美容・衣服	洋服
美容・衣服	アクセサリー・小物
美容・衣服	美容院
美容・衣服	化粧品
美容・衣服	ジム・健康
美容・衣服	その他
娯楽	レジャー
娯楽	映画・動画
娯楽	ゲーム
娯楽	その他
交際費	プレゼント
交際費	会食
交際費	その他
旅行	宿泊
旅行	交通
旅行	観光・入場料
旅行	その他
その他	その他
その他	未分類
